,division,region,heatdd,cooldd,tempjan,tempjuly,agecat
826,Pacific,West,2877.0,174.0,49.0,63.7,19-29
827,Pacific,West,2877.0,174.0,49.0,63.7,19-29
828,Pacific,West,3136.0,95.0,49.0,62.8,19-29
829,Pacific,West,2439.0,498.0,49.5,68.8,19-29
830,Pacific,West,2439.0,498.0,49.5,68.8,19-29
831,Pacific,West,2439.0,483.0,49.5,67.8,19-29
832,Pacific,West,2439.0,498.0,49.5,68.8,19-29
833,Pacific,West,2439.0,498.0,49.5,68.8,19-29
834,Pacific,West,2439.0,498.0,49.5,68.8,19-29
835,Pacific,West,2439.0,498.0,49.5,68.8,19-29
836,Pacific,West,2951.0,91.0,49.7,61.7,19-29
837,Pacific,West,2687.0,162.0,49.7,62.4,19-29
838,Pacific,West,2951.0,91.0,49.7,61.7,19-29
839,Pacific,West,2951.0,91.0,49.7,61.7,19-29
840,Pacific,West,2951.0,91.0,49.7,61.7,19-29
841,Pacific,West,3054.0,76.0,50.8,62.3,19-29
842,Mountain,West,1654.0,3160.0,50.9,89.7,19-29
843,Mountain,West,1598.0,3296.0,51.1,90.0,19-29
844,Mountain,West,1598.0,3296.0,51.1,90.0,19-29
845,Mountain,West,1734.0,2840.0,51.1,86.2,19-29
846,Mountain,West,1598.0,3296.0,51.1,90.0,19-29
847,Pacific,West,3170.0,48.0,51.4,59.5,19-29
848,Pacific,West,3170.0,48.0,51.4,59.5,19-29
849,Pacific,West,3170.0,48.0,51.4,59.5,19-29
850,Pacific,West,2890.0,87.0,51.9,61.5,19-29
851,Pacific,West,1992.0,1571.0,51.9,78.2,19-29
852,Pacific,West,2175.0,1223.0,52.0,75.0,19-29
853,Pacific,West,2175.0,1223.0,52.0,75.0,19-29
854,Pacific,West,2498.0,285.0,52.1,64.8,19-29
855,Pacific,West,2048.0,1134.0,52.2,74.4,19-29
856,Pacific,West,2048.0,1134.0,52.2,74.4,19-29
857,Pacific,West,2048.0,1134.0,52.2,74.4,19-29
858,Pacific,West,2048.0,1134.0,52.2,74.4,19-29
859,Pacific,West,2006.0,980.0,52.2,73.3,19-29
860,Pacific,West,2006.0,980.0,52.2,73.3,30-34
861,Pacific,West,2048.0,1134.0,52.2,74.4,30-34
862,Pacific,West,2006.0,980.0,52.2,73.3,30-34
863,Pacific,West,2006.0,980.0,52.2,73.3,30-34
864,Mountain,West,1442.0,3746.0,52.3,92.3,30-34
865,Mountain,West,1442.0,3746.0,52.3,92.3,30-34
866,Pacific,West,1972.0,1191.0,52.4,74.6,30-34
867,Pacific,West,1972.0,1191.0,52.4,74.6,30-34
868,Pacific,West,1972.0,1191.0,52.4,74.6,30-34
869,Pacific,West,1818.0,1471.0,52.8,77.2,30-34
870,Pacific,West,1777.0,1718.0,52.9,79.3,30-34
871,Pacific,West,1795.0,1225.0,53.2,75.2,30-34
872,Pacific,West,2221.0,375.0,53.2,66.7,30-34
873,Pacific,West,2074.0,385.0,53.4,66.9,30-34
874,Pacific,West,1854.0,813.0,53.6,70.9,30-34
875,Pacific,West,1679.0,1292.0,53.8,75.1,30-34
876,Pacific,West,1993.0,393.0,54.0,66.6,30-34
877,Pacific,West,1954.0,371.0,54.2,66.7,30-34
878,Pacific,West,1954.0,371.0,54.2,66.7,30-34
879,Pacific,West,1954.0,371.0,54.2,66.7,30-34
880,Pacific,West,2068.0,357.0,54.6,65.7,30-34
881,Pacific,West,2068.0,357.0,54.6,65.7,30-34
882,Pacific,West,2068.0,357.0,54.6,65.7,30-34
883,Pacific,West,2068.0,357.0,54.6,65.7,30-34
884,Pacific,West,2068.0,357.0,54.6,65.7,30-34
885,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
886,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
887,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
888,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
889,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
890,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
891,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
892,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
893,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
894,Pacific,West,1532.0,1281.0,54.8,74.8,30-34
895,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
896,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
897,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
898,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
899,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
900,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
901,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
902,Pacific,West,1644.0,1118.0,54.9,73.5,30-34
903,Pacific,West,1550.0,1299.0,55.0,74.7,30-34
904,Pacific,West,1550.0,1299.0,55.0,74.7,30-34
905,Pacific,West,1550.0,1299.0,55.0,74.7,30-34
906,Pacific,West,1719.0,677.0,55.1,69.1,30-34
907,Pacific,West,1719.0,677.0,55.1,69.1,30-34
908,Pacific,West,1109.0,3820.0,55.1,91.7,30-34
909,Pacific,West,1719.0,677.0,55.1,69.1,30-34
910,Pacific,West,1719.0,677.0,55.1,69.1,30-34
911,Pacific,West,1719.0,677.0,55.1,69.1,30-34
912,Pacific,West,1719.0,677.0,55.1,69.1,30-34
913,Pacific,West,1719.0,677.0,55.1,69.1,30-34
914,Pacific,West,1719.0,677.0,55.1,69.1,30-34
915,Pacific,West,1719.0,677.0,55.1,69.1,30-34
916,Pacific,West,1485.0,1091.0,55.2,72.8,30-34
917,Pacific,West,1485.0,1091.0,55.2,72.8,30-34
918,Pacific,West,1485.0,1091.0,55.2,72.8,30-34
919,Pacific,West,1485.0,1091.0,55.2,72.8,30-34
920,Pacific,West,1485.0,1091.0,55.2,72.8,30-34
921,Pacific,West,1529.0,1893.0,55.3,78.7,30-34
922,Pacific,West,1529.0,1893.0,55.3,78.7,30-34
923,Pacific,West,1567.0,986.0,55.4,71.8,30-34
924,Pacific,West,1567.0,986.0,55.4,71.8,30-34
925,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
926,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
927,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
928,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
929,Mountain,West,983.0,4244.0,55.9,93.6,30-34
930,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
931,Pacific,West,1430.0,1089.0,55.9,72.2,30-34
932,Pacific,West,1595.0,728.0,56.0,69.0,30-34
933,Pacific,West,1595.0,728.0,56.0,69.0,35+
934,Pacific,West,1873.0,438.0,56.4,65.8,35+
935,Pacific,West,1517.0,770.0,56.5,69.2,35+
936,Pacific,West,1517.0,770.0,56.5,69.2,35+
937,Pacific,West,1517.0,770.0,56.5,69.2,35+
938,Pacific,West,1284.0,842.0,56.8,70.3,35+
939,Pacific,West,1284.0,842.0,56.8,70.3,35+
940,Pacific,West,1204.0,1339.0,57.2,74.1,35+
941,Pacific,West,1204.0,1339.0,57.2,74.1,35+
942,Pacific,West,1204.0,1339.0,57.2,74.1,35+
943,Pacific,West,1204.0,1339.0,57.2,74.1,35+
944,Pacific,West,1204.0,1339.0,57.2,74.1,35+
945,Pacific,West,1204.0,1339.0,57.2,74.1,35+
946,Pacific,West,1204.0,1339.0,57.2,74.1,35+
947,Pacific,West,1204.0,1339.0,57.2,74.1,35+
948,Pacific,West,1509.0,796.0,57.5,68.7,35+
949,Pacific,West,0.0,3329.0,71.1,76.6,35+
950,Pacific,West,0.0,3329.0,71.1,76.6,35+
951,Pacific,West,0.0,3134.0,71.4,75.4,35+
952,Pacific,West,0.0,4389.0,72.6,80.1,35+
953,Pacific,West,0.0,4389.0,72.6,80.1,35+
954,Pacific,West,0.0,4389.0,72.6,80.1,35+
955,Pacific,West,0.0,4389.0,72.6,80.1,35+
